# Contour path for the equilibrium contour segment.
# This segment belongs to the chemical potential: Left
# It has the chemical potential:
#    0.25000 eV
#  Re(c) [eV]    Im(c) [eV]         Re(w)         Im(w)
-0.257060E+00  0.974560E+00  0.187006E-02  0.000000E+00
-0.215575E+00  0.974560E+00  0.418102E-02  0.000000E+00
-0.145101E+00  0.974560E+00  0.609391E-02  0.000000E+00
-0.524946E-01  0.974560E+00  0.740213E-02  0.000000E+00
 0.527088E-01  0.974560E+00  0.790662E-02  0.000000E+00
 0.157774E+00  0.974560E+00  0.710929E-02  0.000000E+00
 0.248004E+00  0.974560E+00  0.321321E-02  0.000000E+00
 0.342824E+00  0.974560E+00  0.222047E-03  0.000000E+00
 0.478669E+00  0.974560E+00  0.170594E-05  0.000000E+00
 0.676423E+00  0.974560E+00  0.124467E-08  0.000000E+00
